WASH7P,MIR6859-1,CICP27,AL627309.7,AL627309.8,AL627309.5,FO538757.2,FO538757.1,AP006222.1,AL732372.2,AL669831.3,MTND1P23,MTND2P28,MTCO1P12,MTCO2P12,MTATP8P1,MTATP6P1,MTCO3P12,CICP3,AL669831.1
AC010735.2,AC010735.1,RHBDD1,COL4A4,COL4A3,AC097662.1,MFF,TM4SF20,AGFG1,SLC19A3,CCL20,DAW1,SPHKAP,LINC01807,PID1,DNER,TRIP12,FBXO36,SLC16A14,AC009950.1
SP110,SP140,SP140L,AC009949.1,SP100,RN7SL834P,AC010149.1,TPM3P8,LINC01907,CAB39,BANF1P3,ITM2C,GPR55,SPATA3-AS1,C2orf72,AC009407.1,PSMD1,HTR2B,ARMC9,AC018738.1
AC017104.1,B3GNT7,ZBTB8OSP2,AC017104.3,NCL,AC017104.4,AC017104.5,RNU2-22P,LINC00471,NMUR1,AC104634.1,PTMA,PDE6D,COPS7B,AC073476.1,AC073476.3,NPPC,DIS3L2,AC068134.3,ALPP
ECEL1P2,ALPPL2,ECEL1,CHRND,CHRNG,TIGD1,EIF4E2,AC073254.1,EFHD1,GIGYF2,EEF1B2P7,KCNJ13,C2orf82,NGEF,INPP5D,RN7SL32P,ATG16L1,SCARNA5,SCARNA6,SAG
AC013726.1,DGKD,USP40,UGT1A6,UGT1A1,MROH2A,HJURP,MSL3P1,TRPM8,AC097713.2,ARL4C,AC010148.1,SH3BP4,AGAP1,AGAP1-IT1,TMSB10P1,GBX2,IQCA1,RPL3P5,ACKR3
AC105760.2,COPS8,AC112715.1,COL6A3,AC112721.1,AC112721.2,MLPH,RAB17,AC104667.2,AC104667.1,LRRFIP1,RBM44,RAMP1,UBE2F,UBE2F-SCLY,SCLY,ESPNL,KLHL30,KLHL30-AS1,ERFE
ILKAP,AC016757.1,AC012485.1,HES6,PER2,AC012485.3,TRAF3IP1,ASB1,AC016999.1,LINC01107,TWIST2,HDAC4,AC062017.1,NDUFA10,MIR4786,COPS9,GPC1,PP14571,ANKMY1,DUSP28
RNPEPL1,CAPN10-AS1,CAPN10,GPR35,AC011298.1,KIF1A,AGXT,C2orf54,CROCC2,AC104809.2,AC104809.1,SNED1,AC093585.1,AC005237.1,MTERF4,PASK,PPP1R7,ANO7,HDLBP,SEPT2
AC005104.1,FARP2,AC005104.2,STK25,BOK-AS1,BOK,AC133528.1,THAP4,RNA5SP122,ATG4B,DTYMK,ING5,AC114730.3,D2HGDH,AC114730.2,GAL3ST2,AC131097.1,AC131097.3,NEU4,AC131097.4
PDCD1,RTP5,LINC01237,AC131097.2,LINC01238,AC093642.2,LINC01238,LINC01881,RPL23AP88,None,None,None,None,None,None,None,None,None,None,None
CHL1-AS2,CHL1,LINC01266,AC090044.1,CNTN6,RPL21P17,CNTN4,IL5RA,TRNT1,CRBN,AC024060.1,AC034195.1,SUMF1,LRRN1,PNPT1P1,SETMAR,ITPR1-AS1,ITPR1,EGOT,AC018816.1
BHLHE40-AS1,BHLHE40,ARL8B,AC026202.2,EDEM1,AC069277.1,GRM7,MRPS36P1,AC068313.1,LMCD1-AS1,LMCD1,SSUH2,OR7E122P,CAV3,OXTR,RAD18,SRGAP3,SRGAP3-AS2,SRGAP3-AS4,AC026191.1
PGAM1P4,THUMPD3-AS1,THUMPD3,SETD5,LHFPL4,MTMR14,CPNE9,BRPF1,OGG1,CAMK1,TADA3,ARPC4,TTLL3,AC022382.1,RPUSD3,CIDEC,JAGN1,IL17RE,IL17RC,RNU6-882P
CRELD1,AC018809.1,PRRT3,PRRT3-AS1,AC018809.2,EMC3,EMC3-AS1,CYCSP10,AC022007.1,CIDECP,FANCD2,FANCD2OS,BRK1,VHL,IRAK2,TATDN2,LINC00852,GHRL,GHRLOS,SEC13
ATP2B2,SLC6A11,SLC6A1,HRH1,ATG7,VGLL4,AC022001.3,TAMM41,SYN2,ACTG1P12,TIMP4,PPARG,AC091492.1,TSEN2,MKRN2OS,MKRN2,Metazoa_SRP,RAF1,TMEM40,KRT18P17
CAND2,AC034198.2,RPL32,IQSEC1,AC069271.1,NUP210,HDAC11-AS1,HDAC11,FBLN2,WNT7A,VN1R20P,FGD5P1,TPRXL,CHCHD4,TMEM43,AC090004.1,AC093495.1,XPC,LSM3,LINC01267
SLC6A6,GRIP2,CCDC174,C3orf20,FGD5,FGD5-AS1,NR2C2,MRPS25,RBSN,RPS3AP53,COL6A4P1,CAPN7,SH3BP5-AS1,SH3BP5,HMGN2P7,METTL6,EAF1,RNU6-1024P,EAF1-AS1,COLQ
