WASH7P,MIR6859-1,CICP27,AL627309.7,AL627309.8,AL627309.5,FO538757.2,FO538757.1,AP006222.1,AL732372.2,AL669831.3,MTND1P23,MTND2P28,MTCO1P12,MTCO2P12,MTATP8P1,MTATP6P1,MTCO3P12,CICP3,AL669831.1
GLUD1,FAM35A,NUTM2A-AS1,NUTM2A,LINC00863,NUTM2D,MINPP1,AL138767.3,RPS26P38,PAPSS2,ATAD1,CFL1P1,KLLN,PTEN,AC063965.1,RPL11P3,RNLS,LIPJ,LIPN,ANKRD22
STAMBPL1,ACTA2-AS1,ACTA2,FAS,CH25H,LIPA,IFIT2,AL353751.1,IFIT3,IFIT1B,IFIT1,IFIT5,SLC16A12,PANK1,AL157400.2,AL157400.3,AL157400.4,KIF20B,LINC00865,AL138924.1
SNRPD2P1,HTR7,RPP30,ANKRD1,NUDT9P1,PCGF5,HECTD2,PPP1R3C,TNKS2-AS1,TNKS2,SRP9P1,FGFBP3,AL359198.1,BTAF1,CPEB3,NHP2P1,MARCH5,MARK2P9,IDE,KIF11
EIF2S2P3,HHEX,EXOC6,CYP26C1,CYP26A1,XRCC6P1,RPL17P34,MYOF,CEP55,FFAR4,RBP4,PDE6C,FRA10AC1,LGI1,SLC35G1,PIPSL,PLCE1,PLCE1-AS1,AL139124.1,NOC3L
TBC1D12,HELLS,CYP2C18,CYP2C19,CYP2C9,CYP2C8,AL157834.1,ACSM6,AL157834.2,PDLIM1,SORBS1,RPS3AP36,ALDH18A1,TCTN3,ENTPD1,ENTPD1-AS1,CC2D2B,CCNJ,ZNF518A,BLNK
TLL2,TM9SF3,NPM1P26,PIK3AP1,RPL13AP5,LCOR,SLIT1,ARHGAP19,RPL12P27,FRAT1,FRAT2,AL355490.1,RRP12,Y_RNA,PGAM1,EXOSC1,ZDHHC16,MMS19,UBTD1,ANKRD2
HOGA1,C10orf62,MORN4,PI4K2A,AVPI1,MARVELD1,ZFYVE27,SFRP5,LINC00866,GOLGA7B,CRTAC1,R3HCC1L,LOXL4,AL139241.1,PYROXD2,HPS1,HPSE2,RPL7P36,CNNM1,GOT1
AL391684.1,NKX2-3,SLC25A28,AL353719.1,ENTPD7,EBAG9P1,CUTC,COX15,ABCC2,DNMBP,DNMBP-AS1,ERLIN1,CHUK,AL138921.2,AL138921.1,CWF19L1,SNORA12,PHBP9,BLOC1S2,PKD2L1
SCD,OLMALINC,WNT8B,SEC31B,NDUFB8,HIF1AN,PAX2,AL138762.1,SLF2,AL133215.3,MRPL43,SEMA4G,AL133215.1,TWNK,LZTS2,PDZD7,SFXN3,AL133215.2,KAZALD1,TLX1
BTRC,DPCD,POLL,FBXW4,RNU6-1165P,AC010789.1,FGF8,NPM3,MGEA5,KCNIP2-AS1,KCNIP2,C10orf76,HPS6,AL500527.1,LDB1,PPRC1,NOLC1,ELOVL3,PITX3,GBF1
NFKB2,PSD,FBXL15,CUEDC2,RPARP-AS1,MFSD13A,ACTR1A,SUFU,RPL23AP58,AL391121.1,TRIM8,ARL3,SFXN2,WBP1L,CYP17A1,PFN1P11,AL358790.1,BORCS7,AL356608.1,CNNM2
NT5C2,MARCKSL1P1,ST13P13,RPEL1,INA,PCGF6,TAF5,USMG5,PDCD11,CALHM2,AL139339.1,CALHM1,CALHM3,NEURL1,SH3PXD2A,AL121929.2,SH3PXD2A-AS1,AL133355.1,STN1,SLK
COL17A1,SFR1,CFAP43,GSTO1,MIR4482,GSTO2,ITPRIP,AL162742.1,CFAP58-AS1,CFAP58,SORCS3,YWHAZP5,RPL23AP59,SORCS1,XPNPEP1,ADD3-AS1,ADD3,MXI1,SMNDC1,AL355512.1
DUSP5,SMC3,RBM20,AL136368.1,PDCD4-AS1,PDCD4,BBIP1,AL158163.2,AL158163.1,SHOC2,RPL13AP6,ADRA2A,GPAM,ACSL5,AL157786.1,ZDHHC6,VTI1A,AC022018.1,AL158212.3,AL158212.4
AL158212.1,TCF7L2,AL158212.2,RPS15AP30,HABP2,NRAP,CASP7,AL592546.1,PLEKHS1,DCLRE1A,NHLRC2,ADRB1,CCDC186,TDRD1,VWA2,AC005383.1,AFAP1L2,ABLIM1,PPIAP19,AL137025.1
FAM160B1,TRUB1,AL355340.1,ATRNL1,GFRA1,C10orf82,HSPA12A,ENO4,SHTN1,VAX1,SLC18A2,AL391988.1,PDZD8,EMX2OS,EMX2,RAB11FIP2,AC022395.1,CASC2,FAM204A,LINC00867
CACUL1,AL139407.1,RPL17P36,LDHAP5,AL157788.1,NANOS1,EIF3A,FAM45A,SFXN4,PRDX3,GRK5,GRK5-IT1,RN7SL749P,AL583824.1,RGS10,TIAL1,RPS8P4,BAG3,INPP5F,PHACTR2P1
MCMBP,SEC23IP,RPL21P16,PLPP4,LINC01561,WDR11-AS1,AL391425.1,WDR11,AC010998.2,RPL19P16,FGFR2,ATE1,ATE1-AS1,AL731566.2,NSMCE4A,AL731566.1,TACC2,BTBD16,PLEKHA1,ARMS2
HTRA1,DMBT1,CUZD1,FAM24B,AC073585.1,C10orf88,PSTK,IKZF5,ACADSB,HMX3,BUB3,RPS26P39,AL160290.2,GPR26,CPXM2,AL683842.1,CHST15,OAT,NKX1-2,LHPP
AC068896.1,FAM53B,AL513190.1,FAM53B-AS1,EEF1AKMT2,Y_RNA,ABRAXAS2,NPM1P31,AL731577.2,ZRANB1,CTBP2,AL731571.1,AL157888.1,ALDOAP2,AL158835.1,FLJ37035,AL158835.2,EDRF1,EDRF1-AS1,MMP21
UROS,BCCIP,DHX32,Metazoa_SRP,FANK1,ADAM12,C10orf90,DOCK1,AL359094.1,FAM196A,AL391005.1,FOXI2,CLRN3,PTPRE,AL158166.2,AL158166.1,MKI67,LINC01163,MGMT,AL157832.3
EBF3,AL354950.1,LINC00959,AL139123.1,CTAGE7P,GLRX3,TCERG1L,PPP2R2D,BNIP3,AL162274.2,AL162274.1,AL162274.3,JAKMIP3,DPYSL4,STK32C,LRRC27,PWWP2B,AL451069.2,AL451069.3,C10orf91
AL451069.1,LINC01165,INPP5A,CFAP46,LINC01168,ADGRA1,RPL5P28,KNDC1,VENTX,AL592071.1,ADAM8,TUBGCP2,AL360181.2,ZNF511,CALY,BANF1P2,AL360181.1,PRAP1,FUOM,ECHS1
PAOX,AL360181.3,MTG1,SPRN,SCART1,OR7M1P,CYP2E1,AL161645.1,AGGF1P2,None,None,None,None,None,None,None,None,None,None,None
LINC01001,BET1L,RIC8A,SIRT3,PSMD13,AC136475.10,NLRP6,AC136475.3,PGGHG,IFITM5,IFITM2,AC136475.2,IFITM1,AC136475.1,IFITM3,AC136475.7,AC136475.5,AC136475.9,B4GALNT4,PKP3
SIGIRR,ANO9,RN7SL838P,PTDSS2,AC138230.1,RNH1,AC137894.1,HRAS,LRRC56,LMNTD2,AP006284.1,RASSF7,MIR210HG,MIR210,PHRF1,IRF7,CDHR5,SCT,DRD4,DEAF1
AC131934.1,EPS8L2,TMEM80,AP006621.4,TALDO1,GATD1,AP006621.3,AP006621.5,AP006621.2,CEND1,SLC25A22,PIDD1,RPLP2,PNPLA2,AP006621.1,CRACR2B,CD151,POLR2L,TSPAN4,AP006623.1
CHID1,AP2A2,MUC6,AC139749.1,MUC2,MUC5AC,MUC5B,TOLLIP,TOLLIP-AS1,BRSK2,MOB2,DUSP8,KRTAP5-AS1,KRTAP5-1,IFITM10,AC068580.4,CTSD,AC068580.3,RPL36AP39,AC139143.1
SYT8,TNNI2,LSP1,AC051649.2,LINC01150,TNNT3,MRPL23,MRPL23-AS1,H19,IGF2,IGF2-AS,TH,ASCL2,C11orf21,TSPAN32,CD81-AS1,RPL26P30,Y_RNA,CD81,TSSC4
TRPM5,KCNQ1,KCNQ1OT1,KCNQ1-AS1,CDKN1C,SLC22A18AS,SLC22A18,PHLDA2,NAP1L4,SNORA54,AC131971.1,CARS,CARS-AS1,AC108448.2,OSBPL5,MRGPRE,ZNF195,TSSC2,OR7E12P,FAM86GP
AC127526.5,AC127526.4,TRPC2,ART5,ART1,CHRNA10,NUP98,PGAP2,RHOG,AC090587.1,STIM1,AC090587.2,AC090804.1,RRM1,AC015689.1,OR52B3P,TRIM21,OR52K3P,TRIM68,OR51E1
OR51E2,KRT8P49,HBB,HBD,AC087380.1,UBQLNL,OLFM5P,HNRNPA1P53,AC015691.1,TRIM6,TRIM34,TRIM5,TRIM22,OR52N4,OR56B4,AC022762.2,C11orf42,FAM160A2,CNGA4,CCKBR
CAVIN3,AC068733.3,SMPD1,APBB1,HPX,TRIM3,ARFIP2,TIMM10B,AC084337.1,DNHD1,RRP8,ILK,TAF10,TPP1,DCHS1,AC091564.6,MRPL17,AC091564.1,GVINP1,OR2AG2
OR10A2,ZNF215,ZNF214,NLRP14,RBMXL2,SYT9,AC107884.1,OLFML1,PPFIBP2,AC107884.2,CYB5R2,OVCH2,OR10AB1P,AC044810.2,AC044810.1,EIF3F,TUB,RIC3,LMO1,STK33
TRIM66,AC091053.2,RPL27A,SNORA3B,ST5,AC026894.1,AKIP1,C11orf16,TMEM9B,TMEM9B-AS1,NRIP3,AC079296.1,SCUBE2,KRT8P41,DENND5A,TMEM41B,PRR13P2,IPO7,SNORA23,AC132192.1
AC132192.2,ZNF143,WEE1,RPL23AP65,AC011979.1,SWAP70,AC026250.1,SBF2-AS1,SBF2,AC080023.2,AC080023.1,ADM,AMPD3,MTRNR2L8,RNF141,MRVI1-AS1,LYVE1,MRVI1,CTR9,EIF4G2
AC116535.1,ZBED5,ZBED5-AS1,AC069360.1,AC111188.1,GALNT18,CSNK2A3,AC104031.1,USP47,DKK3,AC124276.1,MICAL2,PARVA,AC009806.1,TEAD1,AC013549.1,LINC00958,AC084859.1,RASSF10,ARNTL
BTBD10,FAR1,SPON1,RRAS2,AC018523.1,COPB1,RNU7-49P,PSMA1,PDE3B,MORF4L1P3,CYP2R1,CALCB,CALCA,INSC,SOX6,C11orf58,PLEKHA7,AC116533.1,OR7E14P,RPS13
SNORD14A,PIK3C2A,AC126389.1,AC107956.2,NUCB2,AC107956.1,NCR3LG1,AC124798.1,KCNJ11,ABCC8,SDHCP4,USH1C,OTOG,KCNC1,SERGEF,TPH1,SAAL1,MRGPRX3,SAA2,ST13P5
SAA1,HPS5,GTF2H1,LDHA,AC084117.1,LDHC,LDHAL6A,TSG101,YWHABP2,AC027544.2,AC027544.1,UEVLD,Metazoa_SRP,SPTY2D1-AS1,AC112694.1,AC112694.2,SPTY2D1,AP006296.1,TMEM86A,IGSF22
AC103974.1,PTPN5,ZDHHC13,AC009652.2,E2F8,NAV2,AC009549.1,AC068860.1,HTATIP2,PRMT3,HMGB1P40,NELL1,ANO5,FANCF,GAS2,SVIP,AC006299.1,AC090092.1,LUZP2,ANO3
MUC15,SLC5A12,FIBIN,BBOX1,BBOX1-AS1,CCDC34,LGR4,AC100771.2,AC100771.1,LIN7C,BDNF-AS,AC104563.1,BDNF,HSP90AA2P,KIF18A,METTL15,AC110056.1,AL135933.1,KCNA4,AC124657.1
ARL14EP,RPL12P30,MPPED2,AL136088.1,DCDC1,DNAJC24,IMMP1L,ELP4,AC131571.1,PAX6,RCN1,THEM7P,WT1,WT1-AS,EIF3M,HNRNPA3P9,CCDC73,AL049714.1,PRRG4,QSER1
DEPDC7,TCP11L1,PIGCP1,LINC00294,CSTF3,CSTF3-AS1,AL136126.1,HIPK3,KIAA1549L,AL049629.1,CD59,C11orf91,FBXO3,AC113192.2,LMO2,CAPRIN1,NAT10,ABTB2,AL139174.1,CAT
ELF5,EHF,AC087783.2,APIP,PDHX,AL356215.1,CD44,CD44-AS1,AL133330.1,SLC1A2,PAMR1,FJX1,TRIM44,LDLRAD3,AC129502.1,COMMD9,PRR5L,TRAF6,AC061999.1,RAG1
C11orf74,AC021723.1,AC080100.1,LRRC4C,API5,AC087276.3,TTC17,AC087276.2,RN7SKP287,AC087276.1,AC068205.2,HSD17B12,AC087521.2,ALKBH3,SEC14L1P1,ALKBH3-AS1,AC087521.3,C11orf96,AC087521.1,ACCS
AC134775.1,EXT2,ALX4,CD82,AC010768.2,TSPAN18,TP53I11,PRDM11,AC103681.2,SYT13,AC103736.1,CHST1,AC044839.1,DKFZp779M0652,SLC35C1,CRY2,MAPK8IP1,C11orf94,PEX16,LARGE2
PHF21A,AC024475.4,AC116021.1,LINC02489,CREB3L1,DGKZ,MDK,CHRM4,AMBRA1,AC024293.1,HARBI1,ATG13,ARHGAP1,ZNF408,F2,CKAP5,SNORD67,LRP4-AS1,LRP4,C11orf49
AC090589.2,ARFGAP2,AC090589.3,PACSIN3,AC090589.1,DDB2,AC018410.2,ACP2,NR1H3,MADD,AC018410.1,MYBPC3,SPI1,AC090559.1,SLC39A13,PSMC3,RAPSN,CELF1,RN7SL652P,NDUFS3
PTPMT1,KBTBD4,RNU5E-10P,FAM180B,C1QTNF4,MTCH2,AGBL2,FNBP4,Y_RNA,NUP160,Y_RNA,YPEL5P2,AC023232.1,PTPRJ,FOLH1,AC135977.1,RPL5P29,AP004245.1,LRRC55,APLNR
TNKS1BP1,AP000781.1,SSRP1,P2RX3,PRG2,SLC43A3,RTN4RL2,SLC43A1,RN7SL605P,TIMM10,SMTNL1,UBE2L6,RPS4XP13,SERPING1,AP000662.2,YPEL4,CLP1,ZDHHC5,MED19,TMX2
AP000662.1,SELENOH,AP001931.1,BTBD18,CTNND1,OR5BA1P,EIF4A2P3,AP003557.1,LPXN,ZFP91,AP001350.1,CNTF,AP001350.2,GLYAT,GLYATL2,GLYATL1,AP001636.3,AP001636.2,GLYATL1P1,AP001636.1
GLYATL1P3,FAM111B,AP001258.1,FAM111A,DTX4,MPEG1,AP002358.1,AP000442.1,OSBP,AP000442.2,PATL1,AP000640.2,STX3,AP000640.1,FABP5P7,MRPL16,TCN1,MS4A2,MS4A6A,MS4A4E
MS4A4A,MS4A7,MS4A14,MS4A1,MS4A8,MS4A15,CCDC86,PTGDR2,ZP1,PRPF19,AP003721.4,AP003721.3,TMEM109,AP003721.1,TMEM132A,SLC15A3,CD6,CD5,VPS37C,AP000437.1
PGA5,VWCE,DDB1,TKFC,CYB561A3,TMEM138,TMEM216,CPSF7,AP003108.4,AP003108.2,SDHAF2,RN7SL23P,PPP1R32,AP003108.1,LRRC10B,SYT7,AP003108.5,AP003559.1,AP002754.1,RPLP0P2
DAGLA,MYRF,TMEM258,FEN1,FADS2,FADS1,FADS3,RAB3IL1,BEST1,FTH1,AP003733.4,AP003733.1,AP003733.3,INCENP,SCGB2A1,SCGB1D2,NPM1P35,ASRGL1,RCC2P6,SCGB1A1
AHNAK,AP001363.1,AP001363.2,AP002990.1,TUT1,MTA2,EML3,AP001458.1,ROM1,B3GAT3,GANAB,INTS5,C11orf98,LBHD1,METTL12,UQCC3,UBXN1,LRRN4CL,BSCL2,GNG3
HNRNPUL2,TTC9C,ZBTB3,POLR2G,AP001160.2,TAF6L,TMEM223,AP001160.3,TMEM179B,NXF1,STX5,AP001160.4,RNU6-118P,AP001160.1,AP001160.5,WDR74,SNHG1,SLC3A2,CHRM1,AP000438.1
SLC22A10,SLC22A9,HRASLS5,LGALS12,RARRES3,HRASLS2,PLA2G16,ATL3,IMMP1LP1,RTN3,C11orf95,C11orf84,AP006289.1,MARK2,RCOR2,NAA40,RNU6-45P,COX8A,OTUB1,MACROD1
AP000721.2,AP006333.2,FLRT1,STIP1,FERMT3,TRPT1,NUDT22,AP001453.1,DNAJC4,VEGFB,FKBP2,PPP1R14B,AP001453.2,AP001453.3,PLCB3,BAD,GPR137,ESRRA,TRMT112,PRDX5
AP003774.4,CCDC88B,RPS6KA4,AP003774.3,AP003774.1,SLC22A11,NRXN2,AP001092.1,RASGRP2,PYGM,SF1,AP001462.1,MAP4K2,MEN1,CDC42BPG,EHD1,MIR194-2HG,ATG2A,PPP2R5B,GPHA2
MAJIN,BATF2,ARL2,AP000436.1,SNX15,SAC3D1,NAALADL1,CDCA5,ZFPL1,TMEM262,VPS51,AP003068.1,TM7SF2,ZNHIT2,AP003068.4,FAU,SYVN1,MRPL49,SPDYC,PGAM1P8
AP003068.2,CAPN1,SLC22A20,POLA2,DPF2,TIGD3,AP000944.1,SLC25A45,FRMD8,NEAT1,AP000769.1,MALAT1,SCYL1,LTBP3,SSSCA1-AS1,SSSCA1,FAM89B,EHBP1L1,KCNK7,MAP3K11
PCNX3,SIPA1,MIR4489,RELA,KAT5,RNASEH2C,KRT8P26,AP001266.2,AP5B1,OVOL1,OVOL1-AS1,CFL1,SNX32,MUS81,EFEMP2,CTSW,FIBP,CCDC85B,FOSL1,C11orf68
DRAP1,TSGA10IP,SART1,EIF1AD,BANF1,CST6,CATSPER1,GAL3ST3,SF3B2,AP006287.2,PACS1,AP000759.1,KLC2,AP001107.4,AP001107.8,RAB1B,AP001107.1,CNIH2,YIF1A,TMEM151A
AP001107.3,CD248,RIN1,AP001107.6,BRMS1,B4GAT1,AP001107.9,SLC29A2,AP001107.5,NPAS4,MRPL11,PELI3,AP002748.3,DPP3,BBS1,ZDHHC24,ACTN3,CTSF,CCDC87,CCS
RNU4-39P,RBM14,RBM14-RBM4,RBM4,RBM4B,SPTBN2,C11orf80,C1QBPP2,RCE1,PC,LRFN4,C11orf86,SYT12,RHOD,KDM2A,AP001885.1,GRK2,ANKRD13D,SSH3,RAD9A
POLD4,AP003419.3,RN7SKP239,CLCF1,AP003419.4,RNU6-1238P,PPP1CA,TBC1D10C,CARNS1,RPS6KB2,CORO1B,CABP4,TMEM134,AIP,PITPNM1,CDK2AP2,GSTP1,C11orf72,NDUFV1,DOC2GP
NUDT8,TBX10,ACY3,ALDH3B2,AP003385.3,UNC93B5,ALG1L8P,FAM86C2P,ENPP7P7,AP003716.1,AC004923.1,UNC93B1,ALDH3B1,AC004923.4,NDUFS8,TCIRG1,MIR6753,AP002807.1,CHKA,AP002992.1
KMT5B,C11orf24,LRP5,PPP6R3,AP003096.1,GAL,TESMIN,CPT1A,AP000808.1,MRPL21,IGHMBP2,AP000808.2,AP003071.4,MRGPRF,MRGPRF-AS1,TPCN2,MIR3164,AP003071.1,AP003071.5,MYEOV
IFITM9P,AP005233.2,AP000439.3,AP000439.2,CCND1,ORAOV1,FGF19,AP007216.2,AP003555.3,AP003555.2,ANO1-AS2,ANO1,FADD,PPFIA1,H2AFZP4,AP002336.2,AP002336.1,AP000487.2,AP000487.1,CTTN
SHANK2,AP001271.1,AP001271.2,SHANK2-AS1,DHCR7,AP002387.1,NADSYN1,AP000867.2,KRTAP5-7,KRTAP5-8,KRTAP5-9,KRTAP5-10,UNC93B6,ENPP7P8,FAM86C1,ALG1L9P,ALG1L9P,ZNF705E,AP002495.1,DEFB131B
OR7E128P,OR7E126P,RNF121,IL18BP,NUMA1,AP002490.1,LRTOMT,LAMTOR1,ANAPC15,FOLR3,AP000812.1,AP000812.2,FOLR1,FOLR2,INPPL1,AP000593.1,CLPB,AP000593.3,LINC01537,PDE2A
AP005019.1,ARAP1,ARAP1-AS2,RPS12P20,STARD10,Y_RNA,ATG16L2,FCHSD2,AP002381.1,AP002761.2,AP002761.1,P2RY2,P2RY6,AP002761.3,ARHGEF17,RELT,FAM168A,AP000763.3,AP000763.2,PLEKHB1
RAB6A,MRPL48,COA4,PAAF1,AP002770.2,DNAJB13,AP003717.1,UCP2,AP003717.2,UCP3,C2CD3,PPME1,AP000577.1,P4HA3,SNORA7,PGM2L1,HNRNPA1P40,AP001372.1,KCNE3,AP001372.4
LIPT2,AP001372.2,POLD3,CHRDL2,AP001324.3,AP001324.1,RNF169,XRRA1,AP000560.1,RN7SL239P,AP001992.1,SPCS2,RNU6-216P,NEU3,SLCO2B1,AP001972.3,TPBGL,ARRB1,RPS3,SNORD15B
KLHL35,GDPD5,SERPINH1,AP001922.5,MAP6,AP001922.6,MOGAT2,DGAT2,AP003031.1,AP003031.2,UVRAG,AP002340.1,WNT11,AP000785.2,THAP12,AP002360.1,AP002360.2,EMSY,AP001189.5,AP001189.3
AP001189.1,LRRC32,GUCY2EP,AP003119.1,TSKU,AP003119.2,AP003119.3,ACER3,AP002498.1,B3GNT6,CAPN5,OMP,MYO7A,GDPD4,TOMM20P1,PAK1,AP003680.1,CLNS1A,AQP11,RSF1
Y_RNA,RSF1-IT2,FTH1P16,RSF1-IT1,AAMDC,AP002812.2,AP002812.3,AP002812.5,AP002812.1,INTS4,KCTD14,AP003032.1,THRSP,NDUFC2,ALG8,KCTD21-AS1,KCTD21,USP35,GAB2,AP003086.2
AP003086.1,NARS2,AP003110.1,TENM4,AP002957.1,MIR4300HG,RPS28P7,FAM181B,AP001646.3,AP001646.2,PRCP,AP001646.1,DDIAS,RAB30,RAB30-AS1,AP001767.3,AP001767.4,C1DP5,PCF11,AP000873.4
AP000873.2,ANKRD42,AP000873.3,CCDC90B,AP000446.1,DLG2,HNRNPCP6,TMEM126B,TMEM126A,CREBZF,CCDC89,SYTL2,AP000974.1,CCDC83,SLC25A1P1,PICALM,AP003097.1,EED,AP003084.1,SETP17
HIKESHI,CCDC81,AP001148.1,ME3,AP003059.1,AP003059.2,PRSS23,AP001528.2,AP001528.3,FZD4,AP001528.1,HNRNPCP8,TMEM135,RAB38,CTSC,GAPDHP70,GRM5,NOX4,FOLH1B,NAALAD2
AP000648.3,CHORDC1,AP002364.1,DISC1FP1,TUBAP2,FAT3,SLC36A4,AP003072.2,AP003969.2,DEUP1,SMCO4,AP004242.1,CEP295,SCARNA9,AP001273.1,TAF1D,SNORD6,C11orf54,MED17,VSTM5
HEPHL1,PANX1,AP002784.2,AP002784.1,IZUMO1R,GPR83,MRE11,AP000786.1,ANKRD49,PIWIL4,FUT4,AP000943.2,AMOTL1,AP002383.1,CWC15,KDM4D,KDM4E,AP001264.1,SRSF8,ENDOD1
BUD13P1,AP000787.2,AP000787.1,SESN3,AP001790.1,FAM76B,CEP57,MTMR2,MAML2,CCDC82,JRKL,CNTN5,AP000620.1,AP001351.1,ARHGAP42,PGR,PGR-AS1,TRPC6,AP003080.1,ANGPTL5
CEP126,C11orf70,AP001527.1,AP001527.2,YAP1,AP000942.1,BIRC3,BIRC2,TMEM123,AP001830.1,MMP7,MMP20,AP000851.1,AP000851.2,MMP8,WTAPP1,MMP10,MMP1,MMP3,MMP12
MMP13,DCUN1D5,DYNC2H1,PDGFD,LINC02552,CASP12,AP002004.1,CASP4,CASP5,CASP1,CARD16,CASP1P2,CARD17,GRIA4,MSANTD4,KBTBD3,AASDHPPT,AP001001.1,GUCY1A2,AP001282.2
AP001282.1,AP003057.1,AP000766.1,CWF19L2,ALKBH8,ELMOD1,SLN,SLC35F2,AP001024.1,RAB39A,CUL5,ACAT1,NPAT,ATM,C11orf65,KDELC2,EXPH5,DDX10,C11orf87,ZC3H12C
RDX,AP000924.1,FDX1,ARHGAP20,AP003973.2,LINC02550,C11orf53,COLCA1,COLCA2,POU2AF1,BTG4,C11orf88,LAYN,SIK2,AP000925.1,PPP2R1B,AP001781.2,ALG9,FDXACB1,C11orf1
RPL37AP8,CRYAB,C11orf52,DIXDC1,AP000907.3,DLAT,AP000907.1,PIH1D2,C11orf57,TIMM8B,SDHD,IL18,TEX12,BCO2,KCTD9P4,PTS,AP002884.1,ST13P10,AP002884.3,AP003063.1
AP000802.1,NCAM1,NCAM1-AS1,AP000880.1,TTC12,AP002840.2,ANKK1,DRD2,TMPRSS5,ZW10,AP003170.4,ATF4P4,USP28,AP003170.3,AP003170.1,HTR3B,HTR3A,ZBTB16,NNMT,AP002518.1
C11orf71,RBM7,REXO2,AP002373.2,NXPE1,NXPE4,NXPE2,CADM1,LINC00900,BUD13,AP006216.1,ZPR1,APOA1,APOA1-AS,SIK3,AP000936.3,AP005018.2,PAFAH1B2,SIDT2,TAGLN
PCSK7,RNF214,BACE1,BACE1-AS,AP000892.2,CEP164,DSCAML1,FXYD2,AP000757.1,FXYD6,TMPRSS13,IL10RA,TMPRSS4-AS1,TMPRSS4,SCN4B,SCN2B,JAML,HSPE1P18,MPZL3,MPZL2
AP002800.1,CD3E,CD3D,CD3G,UBE4A,AP001267.1,ATP5L,AP001267.2,KMT2A,AP001267.3,TTC36,TMEM25,IFT46,RPL5P30,ARCN1,RNU6-1157P,PHLDB1,AP000941.1,TREH,TREHP1
AP002954.1,DDX6,AP004609.3,CXCR5,AP004609.1,BCL9L,UPK2,Metazoa_SRP,AP003392.4,CCDC84,RPL23AP64,AP003392.1,AP003392.2,RPS25,TRAPPC4,SLC37A4,HYOU1,AP003392.5,AP003392.6,VPS11
HMBS,H2AFX,DPAGT1,C2CD2L,HINFP,ABCG4,NLRX1,PDZD3,CCDC153,CBL,MCAM,RNF26,USP2,USP2-AS1,THY1,KRT8P7,AP003393.1,NECTIN1,AP003390.1,AP001994.1
TRIM29,AP000679.1,OAF,POU2F3,TMEM136,ARHGEF12,GRIK4,TBCEL,TECTA,SC5D,BMPR1APS2,AP000977.1,SORL1,MIR100HG,UBASH3B,CRTAM,C11orf63,RNU4-23P,HSPA8,SNORD14E
CLMP,GRAMD1B,AP002765.1,SCN3B,ZNF202,VWA5A,TBRG1,SIAE,SPA17,NRGN,AP000866.5,VSIG2,ESAM,AP000866.2,MSANTD2,AP000866.6,AP000866.1,ROBO3,ROBO4,HEPACAM
CCDC15,SLC37A2,TMEM218,KRT18P59,PKNOX2,FEZ1,AP000708.1,EI24,STT3A,CHEK1,ACRV1,PATE2,AP000842.3,HYLS1,PUS3,DDX25,VSIG10L2,CDON,NAP1L1P1,AP001893.3
RPUSD4,AP001893.1,FAM118B,SRPRA,FOXRED1,TIRAP,AP001318.3,DCPS,GSEC,ST3GAL4,KIRREL3,AP001783.1,AP003481.1,AP001000.1,AP000904.1,ETS1,AP001122.1,FLI1,SENCR,KCNJ1
KCNJ5,C11orf45,TP53AIP1,ARHGAP32,BARX2,TMEM45B,NFRKB,PRDM10,LINC00167,ELOBP2,APLP2,ST14,ZBTB44,AP002986.1,ADAMTS8,ADAMTS15,LINC02551,SNX19,NTM,OPCML
AP004782.1,IGSF9B,AP000911.1,AP000911.3,JAM3,AP000911.2,NCAPD3,VPS26B,THYN1,ACAD8,GLB1L3,GLB1L2,B3GAT1,AP004608.1,AP001999.1,None,None,None,None,None
AC215219.1,IQSEC3,AC026369.3,AC026369.1,AC026369.2,AC007406.3,SLC6A12,SLC6A13,AC007406.5,KDM5A,CCDC77,B4GALNT3,NINJ2,AC021054.1,WNK1,RAD52,AC004803.1,ERC1,LINC00942,WNT5B
FBXL14,ADIPOR2,AC005183.1,RPS4XP14,CACNA2D4,LRTM2,LINC00940,DCP1B,CACNA1C,AC005342.1,CACNA1C-AS2,CACNA1C-AS1,LINC02371,AC092471.1,CBX3P4,FKBP4,ITFG2-AS1,ITFG2,NRIP2,AC005841.2
FOXM1,RHNO1,TULP3,AC005911.1,TEAD4,AC125807.2,AC125807.1,TSPAN9,AC005912.2,AC005912.1,AC005865.2,AC005865.1,PRMT8,CRACR2A,AC005831.1,AC006207.1,PARP11,OTUD4P1,AC005842.1,AC007207.2
HSPA8P5,CCND2-AS2,CCND2,TIGAR,AC006122.1,C12orf4,RAD51AP1,DYRK4,AKAP3,AC005832.1,NDUFA9,AC005833.3,AC005833.2,GALNT8,AC005833.4,AC005833.1,AC005906.2,KCNA1,KCNA5,AC006206.2
NTF3,ANO2,VWF,AC005845.1,CD9,Y_RNA,ATP5J2P5,PLEKHG6,TNFRSF1A,SCNN1A,LTBR,AC005840.3,AC005840.1,AC005840.2,CD27-AS1,CD27,TAPBPL,VAMP1,AC005840.5,AC005840.4
MRPL51,NCAPD2,AC006064.3,GAPDH,IFFO1,AC006064.1,NOP2,CHD4,AC006064.2,LPAR5,ACRBP,ING4,AC125494.1,ZNF384,PIANP,AC125494.3,COPS7A,AC125494.2,MLF2,PTMS
